Exchange,Symbol,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Longbusinesssummary,Weight
NYQ,APH,Amphenol Corporation,Amphenol Corporation,Technology,Electronic Components,81.97,48779935744,2938299904,0.169,Wallingford,CT,United States,90000,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Harsh Environment Solutions, Communications Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including harsh environment data, power, high-speed, fiber optic, and radio frequency interconnect products; busbars and power distribution systems; and other connectors. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, broadband communication, commercial aerospace, industrial, information technology and data communication, military, mobile device, and mobile network markets. Amphenol Corporation was founded in 1932 and is headquartered in Wallingford, Connecticut.",0.026876560157126504
NYQ,ROP,"Roper Technologies, Inc.","Roper Technologies, Inc.",Industrials,Specialty Industrial Machinery,443.85,47071182848,2348600064,0.096,Sarasota,FL,United States,19300,"Roper Technologies, Inc. designs and develops software, and engineered products and solutions. The company offers management, campus solutions, diagnostic and laboratory information management, enterprise management, information solutions, transportation management, financial and compliance management, and cloud-based financial analytics and performance management software; cloud-based software to the property and casualty insurance industry; and software, services, and technologies for foodservice operations. It also provides cloud-based data, collaboration, and estimating automation software; electronic marketplace; visual effects and 3D content software; wireless sensor network and solutions; cloud-based software for the life insurance and financial services industries; supply chain software; health care service and software; RFID card readers; data analytics and information; and pharmacy software solutions. In addition, the company offers precision rubber and polymer testing instruments, and data analysis software; ultrasound accessories; testing and analyzing plastic solutions; dispensers and metering pumps; control valves; precision weighing equipment; automated surgical scrub and linen dispensing equipment; water meters; optical and electromagnetic measurement systems; automated leak detection equipment; medical devices; products and services for water and gas utilities; and equipment and consumables. It also provides temperature control and emergency shutoff valves; turbomachinery control hardware, software, and services; specialized pumps; flow meter calibrators and controllers; vibration monitoring systems and controls; analytical instrument; drilling power section; and pressure and level sensors. The company was formerly known as Roper Industries, Inc. and changed its name to Roper Technologies, Inc. in April 2015. The company was incorporated in 1981 and is based in Sarasota, Florida.",0.025935078802086856
NYQ,AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,193.74,40848142336,2309799936,-0.05,Rolling Meadows,IL,United States,32061,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance brokerage, consulting, third-party claims settlement, and administration services in the United States, Australia, Bermuda, Canada, the Caribbean, New Zealand, India, and the United Kingdom. It operates through Brokerage and Risk Management segments. The Brokerage segment consists of retail and wholesale insurance brokerage operations; assists retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; acts as a brokerage wholesaler, managing general agent, and managing general underwriter for distributing specialized insurance coverage's to underwriting enterprises. This segment also performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance; and offers brokerage and consulting services to businesses and organizations, including commercial, not-for-profit, and public entities, as well as individuals in the areas of insurance placement, risk of loss management, and management of employer sponsored benefit programs. The Risk Management segment provides contract claim settlement and administration services to enterprises and public entities; and claims management, loss control consulting, and insurance property appraisal services. The company offers its services through a network of correspondent insurance brokers and consultants. It serves commercial, industrial, public, religious, and not-for-profit entities. The company was incorporated in 1927 and is headquartered in Rolling Meadows, Illinois.",0.02250633458317763
NYQ,TT,Trane Technologies plc,Trane Technologies plc,Industrials,Building Products & Equipment,176.54,40658399232,2544900096,0.175,Swords,,Ireland,37000,"Trane Technologies plc, together with its subsidiaries, engages in the designing, manufacturing, selling, and servicing of solutions for heating, ventilation, air conditioning, and transport refrigeration. It offers air conditioners, exchangers, and handlers; airside and terminal devices; auxiliary power units; chillers; coils and condensers; gensets; furnaces; heat pumps; home automation products; humidifiers; hybrid and non-diesel transport refrigeration, and ice energy storage solutions; indoor air quality assessments and related products; large and light commercial unitary products; motor replacements; refrigerant reclamation products; thermostats/controls; transport heater products; variable refrigerant flow products; and water source heat pumps. The company also provides building management, control, ductless, geothermal, package heating and cooling, temporary heating and cooling, and unitary systems; bus, rail, and multi-pipe heating, ventilation, and air conditioning systems; and container, cryogenic, diesel-powered, electric-powered trailer and truck, hybrid-powered trailer, industrial, rail, self-powered truck, trailer, and vehicle-powered truck refrigeration systems, as well as aftermarket and OEM parts and supplies. In addition, it offers energy and facility management, installation and performance contracting, repair and maintenance, and rental services. It markets and sells its products under the Trane and Thermo King brands through sales offices, distributors, and dealers in the United States; and through sales and service companies with a supporting chain of distributors worldwide. The company was formerly known as Ingersoll-Rand Plc and changed its name to Trane Technologies plc in March 2020. Trane Technologies plc was founded in 1885 and is headquartered in Swords, Ireland.",0.022401790740073386
NYQ,IQV,"IQVIA Holdings, Inc.",IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,213.14,39588622336,2760000000,0.05,Durham,NC,United States,85000,"IQVIA Holdings Inc. provides advanced analytics, technology solutions, and clinical research services to the life sciences industry in the Americas, Europe, Africa, and the Asia-Pacific. It operates through three segments: Technology & Analytics Solutions, Research & Development Solutions, and Contract Sales & Medical Solutions. The Technology & Analytics Solutions segment offers a range of cloud-based applications and related implementation services; real world solutions that enable life sciences and provider customers to generate and disseminate evidence, which informs health care decision making and improves patients' outcomes; and strategic and implementation consulting services, such as advanced analytics and commercial processes outsourcing services. This segment also provides country level performance metrics related to sales of pharmaceutical products, prescribing trends, medical treatment, and promotional activity across various channels, including retail, hospital, and mail order; and measurement of sales or prescribing activity at the regional, zip code, and individual prescriber level. The Research & Development Solutions segment offers project management and clinical monitoring; clinical trial support; virtual trials; and strategic planning and design services, as well as central laboratory, genomic, bioanalytical, ADME, discovery, and vaccine and biomarker laboratory services. The Contract Sales & Medical Solutions segment provides health care provider and patient engagement services, and scientific strategy and medical affairs services. It serves pharmaceutical, biotechnology, device and diagnostic, and consumer health companies. The company has a strategic collaboration with HealthCore, Inc. The company was formerly known as Quintiles IMS Holdings, Inc. and changed its name to IQVIA Holdings Inc. in November 2017. IQVIA Holdings Inc. was founded in 1982 and is headquartered in Durham, North Carolina.",0.0218123696458977
NYQ,TEL,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.,Technology,Electronic Components,123.88,39298576384,3748999936,0.142,Schaffhausen,,Switzerland,92000,"TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the AsiaPacific, and the Americas. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides terminals and connector systems and components, sensors, relays, antennas, and application tooling products for use in the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers terminals and connector systems and components; and interventional medical components, relays, heat shrink tubing, and wires and cables for industrial equipment, aerospace, defense, marine, medical, and energy markets. The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets. TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct sales to manufacturers, as well as through third-party distributors. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland.",0.02165256136902399
NYQ,TDG,Transdigm Group Incorporated,TransDigm Group Incorporated,Industrials,Aerospace & Defense,618.02,33604591616,2468000000,0.181,Cleveland,OH,United States,14400,"TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United States and internationally. Its Power & Control segment offers mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, specialized pumps and valves, power conditioning devices, specialized AC/DC electric motors and generators, batteries and chargers, databus and power controls, sensor products, switches and relay panels, hoists, winches and lifting devices, and cargo loading and handling systems. This segment serves engine and power system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. The company's Airframe segment provides engineered latching and locking devices, engineered rods, engineered connectors and elastomer sealing solutions, cockpit security components and systems, cockpit displays, engineered audio, radio and antenna systems, lavatory components, seat belts and safety restraints, engineered and customized interior surfaces and related components, thermal protection and insulation products, lighting and control technology, and parachutes. This segment serves airframe manufacturers, cabin system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. Its Non-aviation segment offers seat belts and safety restraints for ground transportation applications; electro-mechanical actuators for space applications; hydraulic/electromechanical actuators and fuel valves for land-based gas turbines; refueling systems for heavy equipment used in mining, construction, and other industries; and turbine controls for the energy and oil and gas markets. This segment serves off-road vehicle and subsystem suppliers, child restraint system suppliers, and satellite and space system suppliers; and manufacturers of heavy equipment. The company was founded in 1993 and is based in Cleveland, Ohio.",0.018515314018923954
NYQ,AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",Financial Services,Asset Management,314.51,33590927360,4296999936,0.206,Minneapolis,MN,United States,12000,"Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through four segments: Advice & Wealth Management, Asset Management, Retirement & Protection Solutions, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice; brokerage products and services for retail and institutional clients; discretionary and non-discretionary investment advisory accounts; mutual funds; insurance and annuities products; cash management and banking products; and face-amount certificates. The Asset Management segment offers investment management and advice, and investment products to retail, high net worth, and institutional clients through unaffiliated third-party financial institutions and institutional sales force. This segment products also include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property and infrastructure funds. The Retirement & Protection Solutions segment provides variable annuity products to individual clients, as well as life and DI insurance products to retail clients. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota.",0.01850778534565317
NYQ,MTD,"Mettler-Toledo International, I",Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,1484.89,33104435200,1176237056,0.036,Columbus,OH,United States,15600,"Mettler-Toledo International Inc. engages in the manufacture and supply of precision instruments and services worldwide. It operates in five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations, and Other. The company's laboratory instruments include laboratory balances, liquid pipetting solutions, automated laboratory reactors, titrators, pH meters, process analytics sensors and analyzer technologies, physical value analyzers, thermal analysis systems, and other analytical instruments; and LabX, a laboratory software platform to manage and analyze data generated from its instruments. Its industrial instruments comprise industrial weighing instruments and related terminals, automatic dimensional measurement and data capture solutions, vehicle scale systems, industrial software, metal detection, x-ray, checkweighing, camera-based imaging equipment, track-and-trace solutions, and product inspection systems. The company's retail weighing solutions consist of networked scales and software, stand-alone scales, and automated packaging and labeling solutions for handling fresh goods. It serves the life science industry, independent research organizations, and testing labs; food and beverage manufacturers; food retailers; chemical, specialty chemical, and cosmetics companies; food retailers; transportation and logistics, metals, and electronics industries; and the academic community through its direct sales force and indirect distribution channels. The company was incorporated in 1991 and is based in Columbus, Ohio.",0.01823973997813096
NMS,CSGP,"CoStar Group, Inc.","CoStar Group, Inc.",Real Estate,Real Estate Services,81.26,33047629824,611323008,0.115,Washington,DC,United States,4742,"CoStar Group, Inc. provides information, analytics, and online marketplace services to the commercial real estate, hospitality, residential, and related professionals industries in the United States, Canada, Europe, the Asia Pacific, and Latin America. It offers CoStar Property that provides inventory of office, industrial, retail, multifamily, hospitality, and student housing properties and land; CoStar COMPS, a robust database of comparable commercial real estate sales transactions; CoStar Market Analytics to view and report on aggregated market and submarket trends; and CoStar Tenant, an online business-to-business prospecting and analytical tool that provides tenant information. The company also provides Lease Comps and Analysis, a tool to capture, manage, and maintain lease data; CoStar Lease Analysis; Public Record, a searchable database of commercially-zoned parcels; CoStar Real Estate Manager, a real estate lease administration, portfolio management, and lease accounting compliance software solution; and CoStar Risk Analytics and CoStar Investment. In addition, it offers apartment marketing sites, such as ApartmentFinder.com, ForRent.com, ApartmentHomeLiving.com, WestsideRentals.com, AFTER55.com, CorporateHousing.com, ForRentUniversity.com, Apartamentos.com, and Off Campus Partners; LoopNet Premium Lister; LoopNet Diamond, Platinum, and Gold Ads; LandsofAmerica.com, LandAndFarm.com, and LandWatch.com for rural land for-sale; BizBuySell.com, BizQuest.com, and FindaFranchise.com for operating businesses and franchises for-sale; Ten-X, an online auction platform for commercial real estate; and HomeSnap, an online and mobile software platform, as well as Homes.com, a homes for sale listings site. CoStar Group, Inc. was founded in 1987 and is headquartered in Washington, the District of Columbia.",0.0182084415952605
